"";"Okresy";"Rok";"ziarno zbóż (bez siewnego) - jęczmień za 1dt";"ziarno zbóż (bez siewnego) - pszenżyto za 1dt";"ziarno zbóż (bez siewnego) - owies za 1dt";"ziarno zbóż (bez siewnego) - kukurydza za 1dt";"żywiec rzeźny - bydło (bez cieląt) za 1 kg wagi żywej";"mleko krowie za 1 hl"
"1";"styczeń";2018;67,59;62,06;52,01;59,65;6,58;142,12
"8";"luty";2018;67,33;61,37;52,29;60,46;6,47;135,24
"15";"marzec";2018;67,08;61,86;51,87;61,81;6,34;134,2
"22";"kwiecień";2018;67,35;62,37;51,85;62,35;6,58;132,17
"29";"maj";2018;66,19;62,44;53,3;64,78;6,63;129,2
"36";"czerwiec";2018;65,47;63,72;54,41;67,09;6,49;128,52
"43";"lipiec";2018;62,57;62,05;52,18;67,97;6,42;129,3
"50";"sierpień";2018;68,86;66,81;53,73;70,75;6,52;129,83
"57";"wrzesień";2018;73,48;73,77;57,61;58,05;6,48;132,77
"64";"październik";2018;75,69;74,15;61,25;61,45;6,51;137,15
"71";"listopad";2018;77,6;75,88;65,74;68,75;6,5;140,14
"78";"grudzień";2018;80,34;77,78;70,9;71,07;6,54;140,1
"2";"styczeń";2019;81,77;77,33;71,83;74,55;6,6;140,77
"9";"luty";2019;83,16;77,9;73,71;73,18;6,39;138,13
"16";"marzec";2019;77,33;71,66;73,09;73,67;6,53;137,82
"23";"kwiecień";2019;77,98;75,93;72,05;73,65;6,49;135,85
"30";"maj";2019;78,83;75,81;71,61;69,71;6,52;134,64
"37";"czerwiec";2019;73,1;74;69,45;72,37;6,06;132,07
"44";"lipiec";2019;61,51;62,95;57,64;69,6;6,22;130,16
"51";"sierpień";2019;65,73;61,03;56,19;69,84;6,11;130,62
"58";"wrzesień";2019;67,05;62,87;57,61;62,97;6,01;131,26
"65";"październik";2019;65,28;62,07;60,72;49,06;6,05;132,95
"72";"listopad";2019;66,23;60,05;57,9;57,88;6,34;138,22
"79";"grudzień";2019;65,75;61,42;57,7;61,66;6,35;139,73
"3";"styczeń";2020;71,08;64,71;62,23;64,67;6,43;137,19
"10";"luty";2020;67,55;61,67;60,99;67,1;6,49;137,38
"17";"marzec";2020;67,01;62,38;62,31;68,1;6,25;136,86
"24";"kwiecień";2020;67,82;65,81;63,96;71,37;6,12;132,89
"31";"maj";2020;69,25;67,2;64,37;71,92;6,22;130,88
"38";"czerwiec";2020;68,69;68,63;63,71;74,36;6,27;130,61
"45";"lipiec";2020;60,1;63,05;56,82;75,03;6,29;130,69
"52";"sierpień";2020;62,53;58,68;54,97;83,9;6,14;133,26
"59";"wrzesień";2020;65,29;61,05;55,52;81,36;6,4;138,17
"66";"październik";2020;66,38;63,53;56,07;50,88;6,44;144,59
"73";"listopad";2020;66,42;67,14;62,4;54,49;6,4;149,98
"80";"grudzień";2020;67,54;71,52;58,31;65,13;6,64;152,92
"4";"styczeń";2021;71,71;73,19;56,55;74,66;6,51;149,35
"11";"luty";2021;75,92;76,75;63,9;81,07;7,02;149,17
"18";"marzec";2021;80,35;80,92;62,88;85,7;6,87;151,53
"25";"kwiecień";2021;83,39;84,03;62,67;88,44;7,19;152,27
"32";"maj";2021;84,16;85,24;60,69;93,54;7,26;151,39
"39";"czerwiec";2021;86,5;89,32;60,67;97,96;7,48;150,22
"46";"lipiec";2021;70,09;74,75;64,09;101,16;7,41;149,45
"53";"sierpień";2021;74,43;76,51;58,54;101,08;7,83;150,52
"60";"wrzesień";2021;82,08;84,09;62,83;98,14;8,1;155,71
"67";"październik";2021;87,97;92,97;67,12;68,75;8,64;163,78
"74";"listopad";2021;96,55;101,14;84,45;79,33;9,33;173,64
"81";"grudzień";2021;103,34;114,59;91,53;103,02;9,38;184,13
"5";"styczeń";2022;110,4;112,88;92,81;100,32;9,59;182,96
"12";"luty";2022;111,63;112,8;96,38;110,23;9,76;184,21
"19";"marzec";2022;122,83;131,84;104,88;125,63;10,68;196,48
"26";"kwiecień";2022;139,02;143,49;115,32;135,4;11,23;213,47
"33";"maj";2022;146,33;151,18;119,24;140,74;11,72;221,11
"40";"czerwiec";2022;140,57;150,84;116,35;137,74;10,94;227,18
"47";"lipiec";2022;125,02;135,09;110,31;136,1;10,74;233,67
"54";"sierpień";2022;138,55;132,7;111,43;140,48;11,38;238,97
"61";"wrzesień";2022;134,43;141,22;122,64;135,87;10,95;249,66
"68";"październik";2022;136,03;141,46;128,51;105,72;10,87;260,35
"75";"listopad";2022;137,51;141,04;137,72;108;10,85;270,46
"82";"grudzień";2022;135,77;132,68;133,08;128,3;10,92;275,47
"6";"styczeń";2023;125,78;121,6;126,18;132,01;10,9;245,53
"13";"luty";2023;115,44;116;120,7;123,7;10,94;227,4
"20";"marzec";2023;105,83;112,54;107,83;112,2;10,81;222,54
"27";"kwiecień";2023;94,02;101,78;93,56;105,07;10,82;216,8
"34";"maj";2023;86,75;88,17;88,27;94,66;11,14;206,52
"41";"czerwiec";2023;80,33;83,32;79,48;85,62;9,97;193,58
"48";"lipiec";2023;78,52;80,04;80,73;87,06;9,75;188,67
"55";"sierpień";2023;91,59;79,46;76,4;91,17;10,34;186,76
"62";"wrzesień";2023;85,07;79,68;77,2;80,31;9,98;188,38
"69";"październik";2023;82,08;79,63;82,63;54,53;10,14;195,61
"76";"listopad";2023;82,85;73,22;95,68;61,04;9,88;207,22
"83";"grudzień";2023;82,7;73,85;96,73;74,82;9,86;211,51
"7";"styczeń";2024;78,05;71,53;104,78;77,83;10,09;207,09
"14";"luty";2024;78,12;70,44;99,95;74,83;10,03;205,38
"21";"marzec";2024;74,14;72,01;96,17;68,28;10,08;205,04
"28";"kwiecień";2024;71,25;66,68;91,62;68,87;10,39;202,56
"35";"maj";2024;70,6;67,15;83,08;74,83;10,56;196,89
"42";"czerwiec";2024;68,05;79,1;90,54;88,01;10,64;195,04
"49";"lipiec";2024;73,17;65,53;74,14;88,79;10,49;194,92
"56";"sierpień";2024;77,96;72,36;73,49;86,76;10,38;200,63
"63";"wrzesień";2024;78,72;74,85;78,53;58,04;10,49;208,36
"70";"październik";2024;79,46;77,37;85,18;61,26;10,79;220,23
"77";"listopad";2024;76,95;76,86;81,74;71,84;11,54;233,47
"84";"grudzień";2024;NA;NA;NA;NA;NA;NA
